Certus1	
3476099915	0.340136665184 0.787446545530 0.514037923631 327.064758300781 0.928675111325 -0.367240824767 -0.051929897268 -289.574737548828 0.147883692822 0.495037488033 -0.856194077788 -1705.497314453125 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099915	0.337691677269 0.785624997681 0.518418454650 327.651184082031 0.929629888338 -0.364676320019 -0.052909850946 -290.270782470703 0.147487632745 0.499804506418 -0.853488637037 -1706.040283203125 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099915	0.335771707715 0.783709685399 0.522548073683 327.989990234375 0.930065515030 -0.363665153574 -0.052209135474 -290.552032470703 0.149115720328 0.503534293855 -0.851009821837 -1706.476806640625 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099915	0.335065212094 0.784133358711 0.522365943953 327.848449707031 0.930244989099 -0.363338084517 -0.051280567430 -290.598419189453 0.149584637917 0.503110636040 -0.851178080076 -1706.630493164062 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099915	0.335865654421 0.784644105039 0.521083381627 327.589172363281 0.929930807973 -0.364179417631 -0.051010235795 -290.216827392578 0.149742961644 0.501704076325 -0.851980085000 -1706.586547851562 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099915	0.338082772315 0.785023508916 0.519074300570 327.332366943359 0.929245094268 -0.365779541399 -0.052046919916 -289.425689697266 0.149008703914 0.499943414341 -0.853143005958 -1706.718994140625 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099915	0.338052637797 0.785089082867 0.518994745678 327.436218261719 0.929318064801 -0.365551157800 -0.052347736015 -289.420776367187 0.148621494117 0.500007482938 -0.853173000330 -1706.828002929687 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099915	0.337428426014 0.782887670999 0.522713068438 327.700958251953 0.929613619528 -0.364542074856 -0.054107245794 -289.868072509766 0.148191010879 0.504178510310 -0.850789900056 -1707.333618164062 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099916	0.337432724228 0.781165451263 0.525280586329 327.518920898437 0.929651825230 -0.364229892879 -0.055534394561 -290.616699218750 0.147941341302 0.507067177884 -0.849114972572 -1707.798583984375 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099916	0.338564098136 0.780861499928 0.525004447013 327.288116455078 0.929354806646 -0.364802426206 -0.056734761819 -290.768768310547 0.147220904827 0.507123759810 -0.849206392709 -1707.666748046875 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099916	0.340829835435 0.777738577296 0.528164490157 326.826110839844 0.928855391597 -0.365305958941 -0.061475343537 -290.620941162109 0.145129889334 0.511541065554 -0.846913840644 -1707.356323242187 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099916	0.341534698482 0.779033479639 0.525795480519 326.403991699219 0.928902054155 -0.364999139291 -0.062582762038 -290.506530761719 0.143160830957 0.509786686682 -0.848305670476 -1706.544433593750 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099916	0.341802841368 0.779939402755 0.524276020492 326.135498046875 0.928964313451 -0.364770759011 -0.062988869699 -290.364379882812 0.142113060513 0.508563488073 -0.849215553691 -1705.981323242187 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099916	0.343654368034 0.787903667773 0.510988733379 325.033111572266 0.928635728435 -0.366103732006 -0.060031169285 -289.547393798828 0.139776103843 0.495152368187 -0.857488643117 -1704.036621093750 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099916	0.343788325827 0.788633605199 0.509771148434 324.661254882812 0.928637933764 -0.366125914486 -0.059861529519 -289.063018798828 0.139431614062 0.493972520990 -0.858224896812 -1703.650878906250 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099916	0.343610046294 0.786596784664 0.513027908053 324.446411132812 0.928665769994 -0.365861134014 -0.061037023675 -288.451965332031 0.139685445653 0.497404391791 -0.856199069901 -1703.951904296875 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099916	0.342757174768 0.783138466047 0.518856109285 324.758972167969 0.928954182128 -0.364779738207 -0.063086211659 -288.356933593750 0.139862956684 0.503616804318 -0.852530625700 -1704.553222656250 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099916	0.341602160780 0.778677594999 0.526278601880 325.339233398437 0.929106116963 -0.364195848542 -0.064212205429 -288.395507812500 0.141667876289 0.510903696356 -0.847884205465 -1705.292236328125 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099916	0.340663164838 0.772817921528 0.535444738781 325.913665771484 0.929328179092 -0.363086355610 -0.067211858438 -288.406005859375 0.142470150094 0.520500488506 -0.841891618795 -1706.028564453125 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099916	0.341014873731 0.762680412375 0.549570236161 326.051696777344 0.928983284166 -0.362882262615 -0.072845873045 -288.086578369141 0.143871170270 0.535383089067 -0.832265603222 -1707.015014648437 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099916	0.346653681735 0.764628832093 0.543299157070 324.058807373047 0.927292551361 -0.366600094720 -0.075715881699 -286.771087646484 0.141278976248 0.530044450668 -0.836117893114 -1706.402465820312 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099916	0.350328721565 0.761088276690 0.545906971866 322.109893798828 0.925654853838 -0.370287771886 -0.077782115927 -285.279602050781 0.142943619701 0.532570747485 -0.834227499253 -1706.592163085937 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099916	0.350871146388 0.755230272147 0.553639480768 321.505859375000 0.925109432179 -0.371188936421 -0.079945681385 -284.365051269531 0.145127451318 0.540227738561 -0.828910135879 -1707.328125000000 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099916	0.353260796021 0.751253818044 0.557516377220 320.285827636719 0.923808350593 -0.374147001623 -0.081192071967 -282.468994140625 0.147597226832 0.543720260842 -0.826186018147 -1707.924804687500 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099916	0.355275123407 0.748395753032 0.560074444633 319.554016113281 0.922986089222 -0.375664494355 -0.083503693232 -281.426696777344 0.147906273667 0.546607706243 -0.824223118874 -1708.179321289062 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099916	0.361108201437 0.751334559272 0.552356087047 317.509765625000 0.921010238355 -0.380143821499 -0.085034203828 -279.527648925781 0.146085617702 0.539432159793 -0.829259873189 -1708.014160156250 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099916	0.364088989484 0.748056487748 0.554842949739 316.247161865234 0.919603787402 -0.383109353370 -0.086925816391 -277.590148925781 0.147540102792 0.541884410644 -0.827401476654 -1708.859619140625 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099917	0.365142398748 0.746042492495 0.556858714601 316.070037841797 0.919252537772 -0.383470868934 -0.089021707910 -276.847839355469 0.147125118306 0.544399386545 -0.825822927445 -1709.230224609375 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099917	0.366212942150 0.744035440859 0.558837493148 315.864196777344 0.918762924531 -0.384323551198 -0.090388586132 -275.583465576172 0.147522098378 0.546540639606 -0.824336436019 -1709.817749023437 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
